Bairro   ,PBF,Extrema Pobreza,Pobreza,Baixa Renda,Acima de 1/2 S.M.,Cadastrados em extrema probreza
IPANEMA,1.029,861 ,99 ,196 ,197 ,1.014 
LARANJEIRAS,936 ,804 ,19 ,86 ,124 ,1.019 
GRAJAU,1.017 ,792 ,172 ,256 ,262 ,1.026 
DEODORO,1.050 ,835 ,121 ,137 ,90 ,1.055 
PEDRA DE GUARATIBA,1.257 ,940 ,168 ,276 ,231 ,1.190 
JARDIM CARIOCA,1.449 ,936 ,334 ,489 ,374 ,1.275 
VILA VALQUEIRE,1.352 ,1.079 ,198 ,343 ,255 ,1.287 
FREGUESIA,1.479 ,1.077 ,281 ,441 ,362 ,1.341 
VAZ LOBO,1.352 ,1.088 ,122 ,176 ,175 ,1.348 
TURIACU,1.306 ,1.127 ,97 ,162 ,166 ,1.364 
CAVALCANTI,1.369 ,1.056 ,119 ,178 ,158 ,1.387 
ROCHA,1.312 ,1.150 ,62 ,184 ,164 ,1.393 
ENCANTADO,1.359 ,1.248 ,40 ,127 ,225 ,1.425 
CACHAMBI,1.374 ,1.186 ,71 ,241 ,312 ,1.443 
BOTAFOGO,1.366 ,1.151 ,110 ,363 ,535 ,1.466 
PARQUE COLUMBIA,1.594 ,1.297 ,213 ,248 ,175 ,1.533 
CATUMBI,1.592 ,1.254 ,177 ,279 ,252 ,1.546 
BONSUCESSO,1.532 ,1.165 ,141 ,254 ,295 ,1.571 
MEIER,1.485 ,1.344 ,24 ,168 ,348 ,1.593 
PARQUE ANCHIETA,1.652 ,1.171 ,222 ,288 ,354 ,1.595 
ANDARAI,1.700 ,1.357 ,274 ,413 ,365 ,1.673 
ANIL,1.898 ,1.414 ,392 ,737 ,521 ,1.694 
VASCO DA GAMA,1.654 ,1.362 ,173 ,226 ,205 ,1.701 
VARGEM GRANDE,1.857 ,1.400 ,295 ,309 ,259 ,1.703 
DEL CASTILHO,1.627 ,1.330 ,57 ,200 ,208 ,1.705 
OSWALDO CRUZ,1.668 ,1.400 ,144 ,262 ,298 ,1.741 
QUINTINO BOCAIUVA,1.702 ,1.379 ,141 ,269 ,300 ,1.744 
VIDIGAL,1.747 ,1.524 ,128 ,356 ,261 ,1.805 
SAMPAIO,1.729 ,1.492 ,85 ,193 ,163 ,1.815 
BARROS FILHO,1.895 ,1.503 ,297 ,306 ,172 ,1.850 
VICENTE DE CARVALHO,1.945 ,1.574 ,277 ,324 ,286 ,1.867 
TAUA,2.127 ,1.405 ,462 ,552 ,375 ,1.872 
COMPLEXO DA PENHA,9 ,10 ,1 ,4 ,2 ,10 
VILA COSMOS,8 ,7 ,0 ,1 ,5 ,10 
GARDENIA,11 ,10 ,3 ,2 ,0 ,11 
SENADOR CAMARA,11.905 ,8.883 ,1.996 ,1.735 ,1.287 ,11.155 
CIDADE DE DEUS,11.524 ,9.383 ,732 ,1.126 ,845 ,11.975 
COMPLEXO DO ALEMAO,13.053 ,10.169 ,1.375 ,1.953 ,1.447 ,12.781 
SEPETIBA,12.238 ,10.119 ,411 ,824 ,989 ,12.852 
MARE,13.860 ,9.868 ,2.244 ,2.749 ,1.467 ,12.931 
JARDIM BOTANICO,131 ,108 ,11 ,48 ,70 ,129 
COLONIA,14 ,13 ,3 ,1 ,1 ,13 
GRUMARI,16 ,14 ,3 ,1 ,0 ,14 
VICENTE CARVALHO,15 ,14 ,3 ,6 ,2 ,14 
GUARATIBA,15.618 ,12.033 ,2.316 ,2.578 ,1.829 ,14.775 
JARDIM GUANABARA,137 ,107 ,37 ,48 ,82 ,145 
PITANGUEIRA,19 ,16 ,5 ,7 ,2 ,16 
REALENGO,16.082 ,12.877 ,1.463 ,2.436 ,1.995 ,16.402 
NOVA HOLANDA,16 ,17 ,1 ,4 ,0 ,17 
PARQUE DA CIDADE,16 ,17 ,2 ,6 ,1 ,17 
SAO CONRADO,160 ,133 ,7 ,37 ,25 ,177 
RIO DAS PEDRAS,215 ,177 ,62 ,81 ,26 ,179 
PACIENCIA,17.982 ,14.255 ,1.466 ,1.737 ,1.803 ,18.271 
CIDADE UNIVERSITARIA,167 ,104 ,27 ,94 ,75 ,182 
BARREIRA DO VASCO,18 ,19 ,0 ,0 ,0 ,19 
RICARDO ALBUQUERQUE,17 ,19 ,1 ,1 ,2 ,19 
BANGU,19.778 ,15.419 ,2.209 ,2.549 ,2.183 ,19.777 
ANTARES,2 ,2 ,0 ,0 ,0 ,2 
ARARA,2 ,2 ,0 ,0 ,0 ,2 
BOIUNA,1 ,2 ,0 ,0 ,0 ,2 
COMOS,2 ,2 ,1 ,0 ,0 ,2 
FORMIGA,2 ,2 ,0 ,0 ,0 ,2 
JARDIM GUARATIBA,3 ,2 ,2 ,0 ,0 ,2 
JESUITAS,2 ,1 ,0 ,0 ,0 ,2 
KELSON,2 ,2 ,0 ,0 ,0 ,2 
MANDELA,2 ,2 ,0 ,0 ,0 ,2 
MANGARATIBA,2 ,2 ,0 ,0 ,0 ,2 
MUZEMA,4 ,2 ,2 ,4 ,3 ,2 
NOVA BRASILIA,2 ,2 ,1 ,1 ,0 ,2 
PARQUE OSVALDO CRUZ,2 ,2 ,0 ,0 ,1 ,2 
PARQUE PROLETARIO DA PENHA,2 ,1 ,0 ,0 ,0 ,2 
PEDREIRA,1 ,1 ,0 ,0 ,0 ,2 
PRACA ONZE,2 ,2 ,0 ,0 ,0 ,2 
QUINTINO BOCAUIVA,2 ,2 ,0 ,0 ,0 ,2 
RICARDO ALBOQUERQUE,2 ,2 ,0 ,0 ,0 ,2 
SANTACRUZ,2 ,2 ,0 ,0 ,0 ,2 
SENADOR VASCONCELLOS,2 ,1 ,0 ,0 ,0 ,2 
TRAVESSA,2 ,2 ,0 ,0 ,0 ,2 
VILA DO JOAO,3 ,2 ,1 ,0 ,0 ,2 
VILA DOS PINHEIROS,4 ,2 ,2 ,0 ,1 ,2 
VILAGE,2 ,2 ,0 ,0 ,0 ,2 
VILA VINTEM,2 ,2 ,0 ,0 ,0 ,2 
ESTACIO,2.201 ,1.752 ,258 ,442 ,365 ,2.166 
BENTO RIBEIRO,2.125 ,1.739 ,179 ,337 ,377 ,2.183 
MAGALHAES BASTOS,2.159 ,1.776 ,214 ,353 ,306 ,2.194 
GARDENIA AZUL,2.568 ,1.857 ,545 ,837 ,430 ,2.256 
TOMAS COELHO,2.173 ,1.872 ,52 ,274 ,269 ,2.272 
PARADA DE LUCAS,2.347 ,1.807 ,272 ,396 ,306 ,2.311 
RICARDO DE ALBUQUERQUE,2.370 ,1.926 ,345 ,359 ,313 ,2.311 
SANTO CRISTO,2.264 ,2.032 ,62 ,159 ,259 ,2.385 
JACAREZINHO,2.353 ,1.836 ,233 ,286 ,292 ,2.392 
ENGENHO DA RAINHA,2.321 ,1.986 ,73 ,239 ,292 ,2.430 
CASCADURA,2.400 ,1.944 ,189 ,377 ,353 ,2.453 
RAMOS,2.559 ,1.940 ,391 ,576 ,437 ,2.513 
GALEAO,2.790 ,1.940 ,526 ,688 ,368 ,2.529 
GAMBOA,2.454 ,2.205 ,59 ,131 ,262 ,2.589 
RECREIO DOS BANDEIRANTES,2.787 ,2.146 ,411 ,480 ,445 ,2.599 
PILARES,2.409 ,2.059 ,69 ,271 ,342 ,2.614 
INHAUMA,2.591 ,2.157 ,114 ,362 ,387 ,2.720 
COLEGIO,2.872 ,2.258 ,396 ,420 ,282 ,2.758 
COPACABANA,2.822 ,2.209 ,349 ,709 ,766 ,2.800 
OLARIA,2.822 ,2.259 ,220 ,491 ,548 ,2.851 
SENADOR VASCONCELOS,2.873 ,2.341 ,181 ,386 ,399 ,2.970 
JARDIM BANGU,22 ,20 ,3 ,2 ,4 ,20 
VILA ALIANCA,20 ,20 ,2 ,1 ,1 ,20 
GAVEA,192 ,171 ,25 ,42 ,50 ,205 
MARACANA,196 ,149 ,30 ,53 ,91 ,206 
LEBLON,201 ,180 ,14 ,80 ,141 ,208 
ZUMBI,30 ,16 ,14 ,14 ,14 ,21 
VILA MILITAR,219 ,185 ,25 ,32 ,26 ,222 
COCOTA,265 ,200 ,47 ,83 ,102 ,252 
VISTA ALEGRE,286 ,239 ,49 ,99 ,100 ,274 
ILHA DO GOVERNADOR,26 ,15 ,0 ,0 ,2 ,28 
CAMPO GRANDE,27.650 ,21.568 ,1.654 ,3.081 ,3.902 ,28.845 
PRACA DA BANDEIRA,277 ,224 ,42 ,77 ,93 ,284 
JARDIM SULACAP,265 ,214 ,28 ,47 ,58 ,290 
CANCELA PRETA,3 ,3 ,0 ,0 ,0 ,3 
CANDIDO MAGALHAES,3 ,3 ,0 ,0 ,0 ,3 
JARDIM MARAVILHA,3 ,3 ,2 ,0 ,0 ,3 
NOSSA SENHORA DAS GRACAS,3 ,3 ,0 ,2 ,1 ,3 
PROVIDENCIA,3 ,3 ,0 ,0 ,0 ,3 
RAMOS PISCINAO,2 ,3 ,0 ,1 ,0 ,3 
REALENGO BATAN,3 ,3 ,0 ,0 ,0 ,3 
RICARDO DE ALBOQUERQUE,4 ,3 ,1 ,1 ,0 ,3 
SAO CARLOS,3 ,3 ,0 ,0 ,0 ,3 
TIJUQUINHA,3 ,3 ,0 ,0 ,0 ,3 
TUIUTI,3 ,3 ,0 ,0 ,0 ,3 
VARGEM PEQUENA,3.347 ,2.607 ,493 ,603 ,461 ,3.093 
TANQUE,3.471 ,2.705 ,536 ,728 ,567 ,3.235 
VILA ISABEL,3.451 ,2.722 ,415 ,625 ,552 ,3.359 
SANTA TERESA,3.337 ,2.757 ,225 ,486 ,492 ,3.448 
ITANHANGA,4.040 ,3.077 ,966 ,1.425 ,644 ,3.458 
JARDIM AMERICA,3.519 ,2.752 ,376 ,632 ,485 ,3.514 
