Tabela 349,"Bibliotecas - populares por tamanho do acervo, segundo as Regiões Administrativas e Bairros - 2007",,,
,,,,
Regiões,,,,
Administrativas,Bairros,Bibliotecas,Acervo (aproximado),
,,,,
Total,27,29, 372 294,
,,,,
I  Portuária,1,1, 9 868,
,Gamboa,Biblioteca Popular da Gamboa - José Bonifácio, 9 868,
II  Centro,1,1, 2 126,
,Centro,Livros e Trilhos - Biblioteca do Metrô, 2 126,
III  Rio Comprido,1,1, 5 411,
,Cidade Nova,Biblioteca Popular Abgar Renault, 5 411,
XXI  Paquetá,1,1, 15 318,
,Paquetá,Biblioteca Popular de Paquetá - Joaquim Manuel de Macedo, 15 318,
XXIII  Santa Teresa,1,1, 15 031,
,Santa Teresa,Biblioteca Popular de Santa Teresa - José de Alencar, 15 031,
IV  Botafogo,2,2, 63 404,
,Botafogo,Biblioteca Popular de Botafogo - Machado de Assis, 22 941,
,Glória,Biblioteca Popular da Glória - Pedro Nava, 40 463,
V  Copacabana,1,1, 26 198,
,Copacabana,Biblioteca Popular de Copacabana - Carlos Drummond de Andrade, 26 198,
VI  Lagoa,1,1, 17 645,
,Leblon,Biblioteca Popular do Leblon - Vinícius de Moraes, 17 645,
VIII  Tijuca,1,2, 34 755,
,Tijuca,Biblioteca Popular do Rio Comprido - Aluísio de Azevedo, 18 470,
,,Biblioteca Popular da Tijuca - Marques Rebelo, 16 285,
IX  Vila Isabel,1,1, 10 989,
,Grajaú,Biblioteca Popular do Grajaú - Clarice Lispector, 10 989,
XXVII  Rocinha,1,1, 2 043,
,Rocinha,Biblioteca Popular Infantil da Rocinha - Mário Lago, 2 043,
X  Ramos,1,1, 18 293,
,Ramos,Biblioteca Popular de Olaria e Ramos - João Ribeiro, 18 293,
XI  Penha,1,1, 15 523,
,Penha,Biblioteca Popular da Penha - Álvaro Moreyra, 15 523,
XVII  Bangu,1,1, 8 662,
,Bangu,Biblioteca Popular de Bangu - Cruz e Sousa, 8 662,
XXXI Vigário Geral,1,1, 2 619,
,Jardim América,Biblioteca Popular do Dique - José Lins do Rêgo, 2 619,
XIII  Méier,2,2, 37 473,
,Engenho Novo,Biblioteca Popular do Engenho Novo - Agripino Grieco, 24 776,
,Méier,Biblioteca Popular do Méirer - Lima Barreto, 12 697,
XIV  Irajá,1,1, 11 180,
,Irajá,Biblioteca Popular do Irajá - João do Rio, 11 180,
XX  Ilha do Governador,2,2, 15 606,
,Cocotá,Biblioteca Popular da Ilha do Governador - Euclides da Cunha, 13 430,
,Moneró,Biblioteca Popular do Moneró - Jucelino Kubitschek de Oliveira, 2 176,
XXX  Maré,1,1, 1 457,
,Maré,Biblioteca Popular da Maré - Jorge Amado, 1 457,
XVI  Jacarepaguá,1,1, 18 459,
,Praça Seca,Biblioteca Popular de Jacarepaguá - Cecília Meireles, 18 459,
XVIII  Campo Grande,1,1, 20 717,
,Campo Grande,Biblioteca Popular de Campo Grande - Manoel Ignácio da Silva Alvarenga, 20 717,
XIX  Santa Cruz,2,3, 17 416,
,Paciência,Biblioteca Popular da Divinéia - João Cabral de Mello Neto, 2 652,
,Santa Cruz,Biblioteca Popular de Santa Cruz - Joaquim Nabuco, 12 937,
,,Biblioteca Popular do Guandu - Fernando Sabino, 1 827,
XXXIII Realengo,1,1, 2 101,
,Jardim Sulacap,Biblioteca Popular Infatil do Jardim Sulacap - Lúcia Benedetti, 2 101,
,,,,
,,,,
Fonte: Secretaria Municipal das Culturas - SMC,,,,
