Armazém de Dados,,,,,,,
,,,,,,,
"Quadro 348 - Museus - localização e tipo, segundo as Regiões Administrativas e Bairros - 2004",,,,,,,
,,,,,,,
Regiões,,,,,,,
Administrativas,Bairros,Número de museus/ Identificação,Endereço,Tipo,,,
,,,,,,,
Total,,79,,,,,
,,,,,,,
I Portuária,,1,,,,,
,Caju,Da Limpeza Urbana (Casa de Banho D. João VI),"R. Praia do Caju, 385",Histórico,,,
II  Centro,,37,,,,,
,Centro,Cartográfico do Serviço Geográfico do Exército,"R. Major Daemon, 81",Militar,,,
,,Casa de General Osório,"R. do Riachuelo, 303",Militar,,,
,,Da  Academia Nacional de Medicina,"Av. General Justo, 365/9º and.",De Farmácia,,,
,,Da Eletricidade,"Av. Marechal Floriano, 168",De Técnica,,,
,,Da Escola Naval,Av. Almirante Silvio de Noronha,Militar,,,
,,Da Farmácia (Sta. Casa de Misericórdia),"R. Santa Luzia, 206",De Economia,,,
,,Da Fazenda Federal,"Av. Presidente Antônio Carlos, 375, slj A",De Economia,,,
,,Da Força Expedicionária Brasileira (FEB),"R. das Marrecas, 35, loja",Militar,,,
,,Da Imagem e do Som (MIS),"Pça. Rui Barbosa, 1",De Artes,,,
,,Da Imprensa Brasileira,"R. Marquês de Olinda, 29",,,,
,,Da Justiça,"R. Dom Manoel, 29 - 3° andar",,,,
,,Da Santa Cruz dos Militares,"R. 1º de Março, 36",Histórico,,,
,,De Arte Moderna (MAM) do Rio de Janeiro,"Av. Infante Dom Henrique, 85",De Artes,,,
,,De Farmácia Antônio Lago ,"R. dos Andradas, 96/10º and.",De Farmácia,,,
,,De Gemologia,"Av. Rio Branco, 15",De Ciências,,,
,,De Tecnologia Educacional,"Av. Presidente Vargas, 418 - 21° andar",,,,
,,De Valores do Banco Central,"Av. Rio Branco, 30",De Economia,,,
,,Do Banco do Brasil,"R. 1º de Março, 66/4º and.",De Artes,,,
,,Do Bonde,"Av. República do Chile, 65-A",De Técnica,,,
,,Do Corpo de Bombeiros,"Pça. da República, 45",Militar,,,
,,Do Corpo de Fuzileiros Navais,Praça Barão de Ladário s/n°- Ilha das Cobras,Militar,,,
,,Do Crime - Academia de Polícia,"R. Frei Caneca, 162",Militar,,,
,,Do Exército - Casa de Deodoro,"Pça. da República, 197",Militar,,,
,,Do Negro,"R. Uruguaiana, 77/1º and.",De Etnologia,,,
,,Espaço Cultural da Marinha,"Av. Alfredo Agache, s/nº",Histórico,,,
,,Histórico e Diplomático do Itamaraty,"Av. Marechal Floriano, 196",Histórico,,,
,,Histórico Nacional,"Av. Marechal Âncora, s/nº",Histórico,,,
,,Instituto Histórico e Geográfico do Brasil,"Av. Augusto Severo, 8/10º and.",Histórico,,,
,,Instrumental Delgado de Carvalho,"R. do Passeio, 98",De Artes,,,
,,Judaico,"R. México 90, 1° andar",,,,
,,Nacional de Belas Artes,"Av. Rio Branco, 199",De Artes Plásticas,,,
,,Venerável Ordem Terceira S. Francisco da Penitência,Convento St° Antonio - Largo da Carioca,Militar,,,
,,Naval e Oceanográfico,"R. Dom Manoel, 15",Militar,,,
,,Navio Bauru- Museu Flutuante,"Av. Alfredo Agache, s/nº",Histórico,,,
,,Pantheon Duque de Caxias,"Praça Duque de Caxias, 25",Militar,,,
,,Submarino Riachuelo,"Av. Alfredo Agache, s/nº",Histórico,,,
,,Venerável Ordem Terceira S. Francisco,Convento Santo Antonio -,Militar,,,
III  Rio Comprido,,3,,,,,
,Catumbi,Do Carnaval,"Av. dos Desfiles,  s/nº",De Artes,,,
,Rio Comprido,De Odontologia Prof. Salles Cunha,"R. Barão do Sertório, 75",De Ciências,,,
,Cidade Nova,Da Polícia Militar do Estado do RJ,"R. Marquês de Pombal, 128",Militar,,,
IV  Botafogo,,17,,,,,
,Flamengo,Carmen Miranda,"Av. Rui Barbosa, s/nº",De Artes,,,
,,Do Telefone ,"R. 2 de Dezembro, 63",De Técnica,,,
