Armazém de Dados,,,,,,,
,,,,,,,
"Quadro 351 - Patrimônio histórico, artístico e cultural - bens tombados, por localização e esferas de governo, segundo as Regiões Administrativas e Bairros - 2004",,,,,,,
,,,,,,,
Regiões,,,, Esfera de Governo,,,
Administrativas,Bairros,Identificação,Localização,Nac.,Est.,Mun.,
,,,,,,,
Total,,875,,133,253,489,
,,,,,,,
I  Portuária,,32,,8,5,19,
,Saúde,Pedra do Sal,R. Argemiro Bulcão,,*,,
,,Conj. Arquit. e Paisag. do Jardim,,,,,
,,e do Morro do Valongo,R. Camerino,*,,,
,,Palácio Episcopal do Morro da Conceição,Morro da Conceição,*,,,
,,Oratório do Morro da Providência,Morro da Providência,,,*,
,,Igreja de São Francisco da Prainha,"R. Sacadura Cabral, s/nº",*,,,
,,Prédio (antiga Estrebaria),"R. Sacadura Cabral, 145",,,*,
,,Fundição Manoel Lino Costa (Sobrado),"R. Sacadura Cabral, 152/154",,,*,
,,Fortaleza da Conceição,Pça. Major Valô (Morro da Conceição),*,,,
,,Casa da Ladeira Morro do Valongo,"Ladeira Morro do Valongo, 21",*,,,
,,,,,,,
,Gamboa,Duas pinturas a óleo,"R. Cel. Assunção, 357-A (Pça. da Harmonia)",,,*,
,,Escadaria,R. Costa Barros,,,*,
,,Moinho Fluminense (prédio),"R. Sacadura Cabral, 290",,,*,
,,Centro Cultural José Bonifácio (prédio),"R. Pedro Ernesto, 80",,,*,
,,Pintura a óleo sobre alvenaria,"R. do Propósito, 6",,,*,
,,Igreja da Nossa Senhora da Saúde,"R. Silvino Montenegro, s/nº",*,,,
,,Reservatório do Livramento (1882),Ladeira do Barroso ,,*,,
,,Reservatório do Morro do Pinto (1874),Rua Monte Alverne ,,*,,
,,"Estátua: Negra, estátuas com lampião (2) ",,,,,
,,"e estátuas (4): A Arte, A Ciência, A Indústria ",,,,,
,,e A Navegação,Rua Pedro Ernesto 80 (Centro Cultural José Bonifácio),,,*,
,,Pinturas a óleo sobre alvenaria,Rua Camerino 165,,,*,
,,,,,,,
,Santo Cristo,Hospital de N.S. da Saúde e Igreja Sto. Cristo,,,,,
,,dos Milagres,"Praça Santo Cristo, s/nº",,,*,
,,Cemitério dos Ingleses,"R. da Gamboa, 181",,*,,
,,Vila Operária da Gamboa,"R. Barão da Gamboa, 150 a 160",,,*,
,,Edifício,"R. Barão da Gamboa, 164/184",,,*,
,,Igreja de São Pedro,"R. Cardoso Marinho, 59",,,*,
,,Conjunto de Edificações,"R. Farnese, 45, 49 e 51",,,*,
,,Estr. Ferro Central do Brasil (galpões),"Pátio da RFFSA, entre",,,,
,,,B. da Gamboa e Gamboa,,,*,
,,Linha de Carris da Vila Guarani ,,,,,
,,(antiga estação e cocheira),"R. Pedro Alves, 210",,*,,
,,Antigo Trapiche Modesto Leal,"R. Santo Cristo, 152",,,*,
,,Vila,"R. Marquês de Sapucaí, 14",,,*,
,,,,,,,
,Caju,Casa de Banhos de D. João VI,"Praia do Caju, 115",*,,,
